PartNo,Freq,TotalQty,PartName,BoxType,CubM,UnitLabelQt,ModuleSizeL,ModuleSizeV,ModuleSizeH,VolumePerPiece,Volume,Viscosity,Rank,Category
DL3356514,579,40530,BOLT-LOCK,4A074,0.004032,70,240,140,120,5.76e-05,2.334528,378.947477199929,50,High
9YA020670,579,463200,BOLT,4A016,0.004032,800,240,140,120,5.04e-06,2.334528,378.947477199929,51,High
DR6134011B,8486,42430,"SPRING-COIL,F",4I-,0.06,5,560,480,240,0.012,509.16,376.07623340665,52,High
S09268786,569,204648,PLUG-HOLE,4A075,0.004032,360,240,140,120,1.12e-05,2.2920576,375.836973937303,53,High
DR6246310,522,41760,"",4A011,0.003696,80,240,140,110,4.62e-05,1.929312,375.810811757414,54,High
9YA020857,563,337310,BOLT-EARTH,4A023,0.004032,600,240,140,120,6.72e-06,2.2667232,373.946222119024,55,High
DF5042250,1370,41095,CAP-FILLER,4B022,0.01,30,240,280,240,0.000333333333333333,13.6983333333333,370.157626821991,56,High
GJ6A58225A,1060,742000,BOLT-SETTING,4A085,0.008064,700,240,140,240,1.152e-05,8.54784,362.55815078193,57,High
9YA191003A,528,132000,BOLT-REAMER,4A032,0.004032,250,240,140,120,1.6128e-05,2.128896,361.873432227873,58,High
D65163620A,477,19080,"DAMPER-STAY,LH",4H016,0.004032,40,240,140,120,0.0001008,1.923264,343.952862218897,59,High
D65162620A,476,19040,"DAMPER-STAY,RH",4H015,0.004032,40,240,140,120,0.0001008,1.919232,343.592135468138,60,High
994541025,470,164500,BOLT,4A032,0.004032,350,240,140,120,1.152e-05,1.89504,341.419771421428,61,High
DN246909X,1154,34616,WRENCH,4H62--,0.01,30,560,240,120,0.000333333333333333,11.5386666666667,339.725381556996,62,High
ZJ3815980C,3439,41268,TENSIONER-AUTO,4C012,0.03,12,240,560,240,0.0025,103.17,338.575447032612,63,High
9XG146214K,914,365360,BOLT M10X18 5 PN TI,8AJ11,0.008064,400,280,240,120,2.016e-05,7.3656576,336.775455764864,64,High
D65357540B02,3435,34899,"HINGE-R BACK,CTR",4C015,0.03,10,240,560,240,0.003,104.697,335.706401385029,65,High
9XG02042AF,897,89601,BOLT,8AF14,0.008064,100,280,240,120,8.064e-05,7.22542464,333.703494963371,66,High
D6513438XB,3319,182544,BRG-STRUT,IC,0.03,55,560,240,230,0.000545454545454546,99.5694545454545,332.616805644663,67,High
994641040,442,132600,BOLT,4A053,0.004032,300,240,140,120,1.344e-05,1.782144,331.093666313652,68,High
B6BG18401B,440,88000,"BOLT,STARTER",4A076,0.004032,200,240,140,120,2.016e-05,1.77408,330.343736321705,69,High
904400825,436,370600,SCREW,4A015,0.004032,850,240,140,120,4.74352941176471e-06,1.757952,328.838745641265,70,High
DK1239040A,1067,28512,RUB-E/MTG;#1,4B74--,0.01,27,240,280,240,0.00037037037037037,10.56,328.34655218737,71,High
9YB041028,429,256901,NUT-FLANGE,4A054,0.004032,600,240,140,120,6.72e-06,1.72637472,326.504941320499,72,High
D65145915,421,42095,HOLDER-PIPE,4A064,0.004032,100,240,140,120,4.032e-05,1.6972704,323.151798395563,73,High
DN3220360A,487,29220,TUBE ASSY-VACUUM,IIA5,0.004704,60,240,140,140,7.84e-05,2.290848,321.759089327133,74,Medium
9XG02913X0,414,90879,PLUG 28 X 0.5-2 PNL,8AD22,0.004032,220,240,140,120,1.83272727272727e-05,1.66556421818182,320.789134665234,75,Medium
L206614H5A,410,82000,CLIP,4A015,0.004032,200,240,140,120,2.016e-05,1.65312,318.883219904259,76,Medium
ZJ0818867,410,82000,CLIP,4A016,0.004032,200,240,140,120,2.016e-05,1.65312,318.883219904259,77,Medium
DJ3534170,3051,184108,LINK-CONTROL,4C013,0.03,60,240,560,240,5e-04,92.054,317.995427589389,78,Medium
9XG04176X7,222,155200,BOLT&WSHR M6X16 HF,8AB32,0.002352,700,240,140,70,3.36e-06,0.521472,307.423793495346,79,Medium
DL3334155,925,92500,PLATE-STAB,4B014,0.01,100,240,280,240,1e-04,9.25,304.138126514911,80,Medium
9XF003402M,739,140280,BOLT,8AJ17,0.008064,190,280,240,120,4.24421052631579e-05,5.95377852631579,302.864311606053,81,Medium
DN321006Y,1822,45550,PIPE SUBASSY-GAGE,4H---,0.02,25,560,250,150,8e-04,36.44,301.827765455731,82,Medium
9YA110807,349,174073,BOLT,4A062,0.004032,500,240,140,120,8.064e-06,1.403724672,294.567250039481,83,Medium
9YB041208,349,174500,NUT-FLANGE,4A066,0.004032,500,240,140,120,8.064e-06,1.407168,294.206627529938,84,Medium
D35045919A,346,103774,HOLDER-PIPE,4A073,0.004032,300,240,140,120,1.344e-05,1.39472256,292.976094857357,85,Medium
9YA500603,346,1038000,SCREW-TAPPING,4A035,0.004032,3000,240,140,120,1.344e-06,1.395072,292.939399984864,86,Medium
DF7445911,342,68227,HOLDER-PIPE,4A076,0.004032,200,240,140,120,2.016e-05,1.37545632,291.610195783159,87,Medium
9XG15119X3,685,274000,BOLT M10X26 PN TI P,8AJ13,0.008064,400,280,240,120,2.016e-05,5.52384,291.454004103455,88,Medium
DK49675DY,340,27199,TRANSMITTER,4A--,0.004032,80,140,240,120,5.04e-05,1.3708296,290.393693350582,89,Medium
9XG042957L,396,118504,BOLT,8AH13,0.004788,300,280,190,90,1.596e-05,1.89132384,287.946787400707,90,Medium
DN3266120B,4104,20519,SWITCH-COMBI,Z3083,0.05,5,600,400,220,0.01,205.19,286.503054425151,91,Medium
994501040,330,82500,BOLT,4A011,0.004032,250,240,140,120,1.6128e-05,1.33056,286.086067635665,92,Medium
H26050841,323,323000,GROMMET-SCREW,4A056,0.004032,1000,240,140,120,4.032e-06,1.302336,283.03555780878,93,Medium
D4363719X,792,31680,CAP ASSY-CENTER,4B021,0.01,40,240,280,240,0.00025,7.92,281.424945589406,94,Medium
994790625,309,247200,BOLT,4A086,0.004032,800,240,140,120,5.04e-06,1.245888,276.833713196035,95,Medium
9XG147254K,611,183220,BOLT,8AJ14,0.008064,300,280,240,120,2.688e-05,4.9249536,275.321507384291,96,Medium
DK5150YF1A,303,45370,TRNSF L/C DR NM,4B24,0.004032,150,240,140,120,2.688e-05,1.2195456,274.374411879352,97,Medium
DN2069532,75,3750,BRKT,"",0.004032,200,240,140,120,2.016e-05,0.0756,272.772362794991,98,Medium
D6524608XA,732,36600,BRKT ASSY-CABLE,4B032,0.01,50,240,280,240,2e-04,7.32,270.554985169374,99,Medium
9XG10267X0,581,638940,CLIP,8AE61,0.008064,1100,280,240,120,7.33090909090909e-06,4.68401105454545,268.452329373409,100,Medium
DN3213382A,2142,42840,INSULATOR-HEAT,4Q-,0.03,20,560,240,240,0.0015,64.26,267.207784317748,101,Medium
B00143694A,286,171540,BOLT-CONNECTOR,IA022,0.004032,600,240,140,120,6.72e-06,1.1527488,266.378208464503,102,Medium
B00156170C,286,45760,BOLT-JACK SET,4A074,0.004032,160,240,140,120,2.52e-05,1.153152,266.331634776156,103,Medium
994541090,283,36790,BOLT,4A026,0.004032,130,240,140,120,3.10153846153846e-05,1.141056,264.931108146046,104,Medium
ZJ2113390,4127,41270,INSULATOR ASSY-EXH,4I014,0.06,10,480,560,240,0.006,247.62,262.265768512273,105,Medium
D6516679YA,2061,41220,BRKT ASSY-HORN,4C044,0.03,20,240,560,240,0.0015,61.83,262.106848441623,106,Medium
ZJ1413460,2061,41220,GSKT ASSY-EXH MANI,4CD02,0.03,20,240,560,240,0.0015,61.83,262.106848441623,107,Medium
DN3409010,675,13500,KEY SET,4Z20,0.01,20,400,300,120,5e-04,6.75,259.807621135332,108,Medium
9YA021059A,270,81000,BOLT,4A051,0.004032,300,240,140,120,1.344e-05,1.08864,258.774584753383,109,Medium
D65156731,264,79200,CLIP-OPENER CABLE,4A081,0.004032,300,240,140,120,1.344e-05,1.064448,255.88315785958,110,Medium
DN3257L30G,2671,27284,"BELT-B,P/TENS",DGP,0.04,10,570,490,150,0.004,109.136,255.675946245134,111,Medium
D65168424A,259,41440,"COVER-RECESS,RH",4A034,0.004032,160,240,140,120,2.52e-05,1.044288,253.448438762426,112,Medium
D65168454B,259,41440,"COVER-RECESS,LH",4A021,0.004032,160,240,140,120,2.52e-05,1.044288,253.448438762426,113,Medium
DN3257720B,1912,45884,BELT-A,4Q-,0.03,24,240,560,240,0.00125,57.355,252.465620180654,114,Medium
DN3257L90G,2597,26549,"BELT-B,P/TENS",DGP,0.04,10,570,490,150,0.004,106.196,252.010055629055,115,Medium
D65157520B,635,19050,"STRIKER-R BACK,LH",4B022,0.01,30,240,280,240,0.000333333333333333,6.35,251.992063367083,116,Medium
D65157510B,633,18990,"STRIKER-R BACK,RH",4B022,0.01,30,240,280,240,0.000333333333333333,6.33,251.594912508183,117,Medium
DN5557510,631,44170,STRIKER-R BACK,4B023,0.01,70,240,280,240,0.000142857142857143,6.31,251.197133741609,118,Medium
DN0366YR1,171,20700,SPKR PRK AID,5C3L3,0.004032,180,240,140,120,2.24e-05,0.46368,251.123253002899,119,Medium
9YA110619,253,328900,BOLT,4A053,0.004032,1300,240,140,120,3.10153846153846e-06,1.020096,250.49554062501,120,Medium
DG9969452,618,18520,"BRKT-R ASSIST,RH",APC27,0.01,30,420,210,150,0.000333333333333333,6.17333333333333,248.730252805941,121,Medium
DG9969453,618,18520,"BRKT-R ASSIST,LH",APC27,0.01,30,420,210,150,0.000333333333333333,6.17333333333333,248.730252805941,122,Medium
DF7169532B,248,12400,BRKT,4A021,0.004032,50,240,140,120,8.064e-05,0.999936,248.007936380948,123,Medium
9YB041026,247,123475,MUT-FLANGE,4A061,0.004032,500,240,140,120,8.064e-06,0.9957024,247.532470474808,124,Medium
9YB041203,244,122000,NUT-FLANGE,4A071,0.004032,500,240,140,120,8.064e-06,0.983808,245.999741902046,125,Medium
9YA020659,243,121500,BOLT,4A045,0.004032,500,240,140,120,8.064e-06,0.979776,245.495126515491,126,Medium
ZJ3918861B,599,23960,SENSOR-OXYGEN,4B024,0.01,40,240,280,240,0.00025,5.99,244.744765010408,127,Medium
DN0357KN0,1765,10590,"A/B-CURTAIN,LH",DGP,0.03,6,570,380,150,0.005,52.95,242.555835496352,128,Medium
994640616,237,355500,BOLT,4A023,0.004032,1500,240,140,120,2.688e-06,0.955584,242.445379219242,129,Medium
DK49675DYA,237,18960,TRANSMITTER,4A--,0.004032,80,140,240,120,5.04e-05,0.955584,242.445379219242,130,Medium
D65142631C,572,85746,CLIP,4B013,0.01,150,240,280,240,6.66666666666667e-05,5.7164,239.240512187237,131,Medium
ZJ2140080,568,28400,BRKT ASSY-HANGER,4B024,0.01,50,240,280,240,2e-04,5.68,238.32750575626,132,Medium
9XG039577L,455,45480,BOLT,8AA54,0.008064,100,280,240,120,8.064e-05,3.6675072,237.588769947158,133,Medium
TC4042239,560,167895,CLAMP-HOSE,4B015,0.01,300,240,280,240,3.33333333333333e-05,5.5965,236.717177003868,134,Medium
GJ6E56802,218,43600,RUBBER-STOP,4A065,0.004032,200,240,140,120,2.016e-05,0.878976,232.524106959817,135,Medium
DF8743481,537,42943,HOSE-VACUUM,4B032,0.01,80,240,280,240,0.000125,5.367875,231.778468396687,136,Medium
DK5266151,252,22674,SWITCH-IGNITION,4Z20,0.004704,90,240,140,140,5.22666666666667e-05,1.1850944,231.48564676307,137,Medium
DN2443621,532,42543,HOSE-VACUUM,4B033,0.01,80,240,280,240,0.000125,5.317875,230.697330915225,138,Medium
DK5161695A,214,181895,BRKT-RELAY,4B42--,0.004032,850,240,140,120,4.74352941176471e-06,0.862824282352941,230.384148288028,139,Medium
DK4961158B,524,3141,"DUCT-HEATER SIDE,LH",H3U13,0.01,6,480,290,130,0.00166666666666667,5.235,229.019754072639,140,Medium
DK4961157A,523,3137,"DUCT-HEATER SIDE,RH",4HU13,0.01,6,280,480,120,0.00166666666666667,5.22833333333333,228.728380354512,141,Medium
9XF20214ZD,411,184470,NUT M12 HF PTP 10,8AC15,0.008064,450,280,240,120,1.792e-05,3.3057024,226.052828390683,142,Medium
GJ6A5114Y,206,82400,FASTENER-LAMP,4A043,0.004032,400,240,140,120,1.008e-05,0.830592,226.03378031009,143,Medium
DN3215384A,3042,45621,HOSE-SUBTANK,4Z30,0.06,15,560,480,230,0.004,182.484,225.188814048957,144,Medium
DN325697Y,507,25350,BRKT,APC84,0.01,50,550,330,110,2e-04,5.07,225.166604983954,145,Medium
9XF002437L,403,92416,BOLT,8AE13,0.008064,230,280,240,120,3.50608695652174e-05,3.24018532173913,223.882486157651,146,Medium
