FrequencyRank,ViscosityRank,PartNo,PartName,Prefix,Frequency,DemandVolume_m3,Viscosity,AllocatedVolume_m3,Benefit,ReplenishTrips,BoxWidth_m,BoxDepth_m,BoxHeight_m,TotalBoxesNeeded,WidthNeeded_m,Cabinet,Floor,PositionID,SubPosStart_m,SubPosEnd_m,X,ErgonomicScore,AssociatedWith,AssociationGroup
29,114,DN3257720B,BELT-A,DN3,2049,61.47,261.34268690744,0.53365445236797,2370.19655732541,115.186896178306,0.24,0.56,0.24,18,1.98,4,1,C04F1,0,1.98,11.49,60,"",0
30,29,DK1239080,BRKT-ENG;#4,DK1,1989,19.89,445.982062419555,0.303560963197131,2995.16611761357,65.522258825762,0.24,0.28,0.24,31,1.98,15,3,C15F3,0,1.98,5.99,100,"",0
31,19,9XG14343ZC,BOLT&WSHR M14X75 HF,9XG,1974,15.918336,494.76425362658,0.271567231152115,3068.75164964858,58.6165566900948,0.28,0.24,0.12,34,1.98,16,3,C16F3,0,1.98,11.49,100,"",0
32,82,DN321006Y,PIPE SUBASSY-GAGE,DN3,1954,39.08,312.569992161756,0.425506117319492,2530.34648072086,91.8435679519425,0.56,0.25,0.15,22,1.98,4,5,C04F5,0,1.98,11.49,60,"",0
33,9,9YA02100P,BOLT,9YA,1871,7.543872,681.203125662749,0.186950093233717,3136.71503842186,40.3523307718761,0.24,0.14,0.12,47,1.44,12,4,C12F4,0,1.44,16.22,90,"",0
34,128,DN0357KN0,"A/B-CURTAIN,LH",DN0,1843,55.29,247.857485933617,0.506118049394866,2047.35067502215,109.243288331856,0.57,0.38,0.15,17,1.98,19,3,C19F3,0,1.98,0.99,100,"",0
35,38,DN24437A0,HYDRAULIC UNIT-ABS,DN2,1807,18.07,425.088226136646,0.289339420221807,2677.2109520638,62.452603195747,0.24,0.56,0.12,29,1.98,3,1,C03F1,0,1.98,5.99,60,"",0
36,23,9XG099317L,BOLT M5X16 HF PIL A,9XG,1770,14.27328,468.501918479581,0.257152306089961,2707.42259381061,55.505160412626,0.28,0.24,0.12,32,1.98,16,2,C16F2,0,1.98,11.49,90,"",0
37,10,D65133042A,NUT-LOCK,D65,1666,6.717312,642.802025855897,0.176411255523329,2760.83644413111,38.0775703912593,0.24,0.14,0.12,44,1.44,3,5,C03F5,0,1.44,5.72,60,"",0
38,44,D65139060F,RUB-E/MTG;#3,D65,1633,16.33,404.103947023535,0.275056316670479,2375.45510008609,59.3696599942606,0.24,0.28,0.24,28,1.98,20,3,C20F3,0,1.98,3.49,100,"",0
39,46,DK4966370A,SW-P/W SUB,DK4,1616,16.16,401.995024844836,0.273620863315246,2346.10264165155,59.0598238898969,0.24,0.28,0.24,28,1.98,11,2,C11F2,0,1.98,13.99,90,"",0
40,11,997961260,BOLT,997,1589,6.406848,627.77163222164,0.172286298685338,2620.19174285286,37.1872171431427,0.24,0.14,0.12,43,1.44,21,3,C21F3,0,1.44,5.72,100,"",0
41,31,9XG09643X0,PLUG 40X.08-1.5 PNL,9XG,1563,12.604032,440.254931558869,0.241648041240146,2343.62047385224,52.1586350765174,0.28,0.24,0.12,30,1.98,16,4,C16F4,0,1.98,11.49,90,"",0
42,54,DF5042250,CAP-FILLER,DF5,1476,14.76,384.187454245971,0.261500009723366,2105.3461117871,56.4435925475269,0.24,0.28,0.24,27,1.98,22,3,C22F3,0,1.98,11.49,100,"",0
43,12,B00237160B,NUT-HUB,B00,1468,5.918976,603.396471308295,0.165596754210768,2399.85036093765,35.7433092708233,0.24,0.14,0.12,42,1.44,23,3,C23F3,0,1.44,13.72,100,"",0
44,13,DN3409010A,KEY SET,DN3,1462,5.894784,602.162109692404,0.165257994727023,2388.94715643829,35.6701895707807,0.24,0.14,0.12,41,1.44,6,2,C06F2,0,1.44,16.22,90,"",0
45,45,9XG11918ZA,BOLT M10X25 HF PIL,9XG,1311,10.571904,403.205164602222,0.2213120882009,1905.46182402812,47.7692117314585,0.28,0.24,0.12,28,1.96,16,1,C16F1,0,1.96,11.48,60,"",0
46,14,994540895,BOLT-FLANGE,994,1271,5.124672,561.451845311042,0.154085427492749,2043.12037685318,33.2586415431216,0.24,0.14,0.12,39,1.2,24,3,C24F3,0,1.2,16.1,100,"",0
47,63,DN246909X,WRENCH,DN2,1245,12.45,352.845575287547,0.240166929838022,1712.41584165667,51.8389438895555,0.56,0.24,0.12,25,1.98,7,2,C07F2,0,1.98,0.99,90,"",0
48,17,9XG013312M,BOLT,9XG,1238,5.927544,508.490977651077,0.165716565467332,1939.46245018258,35.7691699878277,0.28,0.19,0.09,35,1.12,16,5,C16F5,0,1.12,11.06,60,"",0
49,70,DK1239040A,RUB-E/MTG;#1,DK1,1141,11.41,337.786915081091,0.229917142274974,1537.6013948916,49.6265736738932,0.24,0.28,0.24,23,1.98,15,2,C15F2,0,1.98,5.99,90,"",0
50,57,GJ6A58225A,BOLT-SETTING,GJ6,1139,9.184896,375.825810293199,0.206284051341055,1610.11782925372,44.5254780497518,0.24,0.14,0.24,26,1.68,9,2,C09F2,0,1.68,5.84,90,"",0
51,15,9YA020843,BOLT,9YA,1119,4.511808,526.810935635131,0.14457854026684,1769.90065499975,31.2066230000166,0.24,0.14,0.12,36,1.2,12,1,C12F1,0,1.2,16.1,60,"",0
52,78,DL3334155,PLATE-STAB,DL3,1065,10.65,326.343377441614,0.222128014413248,1410.82011437423,47.9453257083848,0.24,0.28,0.24,23,1.98,10,2,C10F2,0,1.98,11.49,90,"",0
53,16,DP0467B21A,BRKT,DP0,1050,4.2336,510.310363079829,0.140050105998982,1646.56228535477,30.2291809763484,0.24,0.14,0.12,35,1.2,9,4,C09F4,0,1.2,5.6,90,"",0
54,18,9YA020669,BOLT,9YA,991,3.995712,495.765801723687,0.136058481475931,1541.48589643342,29.3676069044387,0.24,0.14,0.12,34,1.2,12,5,C12F5,0,1.2,16.1,60,"",0
55,20,9YA670603,SCREW-TAPPING,9YA,983,3.963456,493.760673985488,0.135508192137142,1527.26755834931,29.2488294433797,0.24,0.14,0.12,34,1.2,11,1,C11F1,0,1.2,13.6,60,"",0
56,65,9XG146214K,BOLT M10X18 5 PN TI,9XG,982,7.918848,348.96388588333,0.191540022478955,1343.85430688225,41.3430462078497,0.28,0.24,0.12,24,1.68,17,2,C17F2,0,1.68,13.84,90,"",0
57,21,011856241,PLUG-DRAIN,011,980,3.95136,493.006648591635,0.135301256625001,1521.93754974299,29.2041633504672,0.24,0.14,0.12,34,1.2,13,2,C13F2,0,1.2,0.6,90,"",0
58,69,9XG02042AF,BOLT,9XG,943,7.604352,341.964156202056,0.187697996313112,1278.29356604468,40.5137622636879,0.28,0.24,0.12,24,1.68,17,4,C17F4,0,1.68,13.84,90,"",0
59,22,9YA420803,SCREW,9YA,928,3.741696,479.748611419283,0.131662707135,1429.71801612394,28.4187989250705,0.24,0.14,0.12,33,1.2,11,5,C11F5,0,1.2,13.6,60,"",0
60,24,9YA021104,BOLT,9YA,875,3.528,465.847495312456,0.127847670394387,1336.0698921087,27.5953405260868,0.24,0.14,0.12,32,0.96,10,1,C10F1,0,0.96,10.98,60,"",0
61,25,9YA750603,BOLT,9YA,871,3.511872,464.781481340237,0.127555112412799,1329.017101835,27.5321932109998,0.24,0.14,0.12,32,0.96,10,1,C10F1,0.96,1.92,11.94,60,"",0
62,94,D4363719X,CAP ASSY-CENTER,D43,863,8.63,293.768616431368,0.199955764313009,1078.60681058757,43.1595459608289,0.24,0.28,0.24,20,1.98,14,2,C14F2,0,1.98,3.49,90,"",0
63,95,DN3409010,KEY SET,DN3,827,8.27,287.576076890968,0.195740766836829,1020.25363226758,42.2497578488283,0.4,0.3,0.12,20,1.98,6,4,C06F4,0,1.98,16.49,90,"",0
64,28,D65133042,NUT-LCOK,D65,815,3.28608,449.591966685278,0.12338648623664,1230.51378798918,26.6324141340544,0.24,0.14,0.12,31,0.96,20,1,C20F1,0,0.96,2.98,60,"",0
65,81,9XF003402M,BOLT,9XF,792,6.386688,313.391585264004,0.172015024231624,1027.07004328295,37.1286637811364,0.28,0.24,0.12,22,1.68,18,2,C18F2,0,1.68,16.34,90,"",0
66,99,D6524608XA,BRKT ASSY-CABLE,D65,787,7.87,280.535202782111,0.19094834421194,955.769972988231,41.215335134118,0.24,0.28,0.24,20,1.98,20,5,C20F5,0,1.98,3.49,60,"",0
67,32,D35042239,CLAMP-HOSE,D35,775,3.1248,438.420234007626,0.120320504318783,1160.44046261795,25.9706358254699,0.24,0.14,0.12,30,0.96,19,2,C19F2,0,0.96,0.48,90,"",0
68,30,DK4962361D,STRIKER-LIFTGATE,DK4,772,3.065612,440.918891234766,0.119175538863714,1158.14749672258,25.7235002184949,0.22,0.19,0.095,31,0.88,10,5,C10F5,0,0.88,10.94,60,"",0
69,33,D65150670C,"MLDG-BELTLINE,R,LH",D65,766,3.088512,435.867134262448,0.119619828973332,1144.70902660856,25.8193982260963,0.24,0.14,0.12,30,0.96,2,2,C02F2,0,0.96,2.98,90,D65150660C,1
70,34,D65150660C,"MLDG-BELTLINE,R,RH",D65,764,3.080448,435.297745209101,0.119463565250223,1141.21495886032,25.7856694093117,0.24,0.14,0.12,30,0.96,2,2,C02F2,0.96,1.92,3.94,90,D65150670C,1
71,37,9YA420608,BOLT-EARTH,9YA,744,2.999808,429.562346492112,0.117889536470144,1106.31116359173,25.4459224272183,0.24,0.14,0.12,30,0.96,10,5,C10F5,0.88,1.84,11.86,60,"",0
72,87,9XG15119X3,BOLT M10X26 PN TI P,9XG,737,5.943168,302.314156476916,0.165934822111232,936.755804563788,35.8162796957475,0.28,0.24,0.12,21,1.68,17,1,C17F1,0,1.68,13.84,60,"",0
73,109,D65157510B,"STRIKER-R BACK,RH",D65,711,7.11,266.645832519468,0.18149444242886,834.378701117511,39.1747532588326,0.24,0.28,0.24,19,1.98,2,4,C02F4,0,1.98,3.49,90,D65157520B,3
74,110,D65157520B,"STRIKER-R BACK,LH",D65,709,7.09,266.270539113887,0.181238996218622,831.205754727784,39.1196163514811,0.24,0.28,0.24,19,1.98,3,4,C03F4,0,1.98,5.99,90,D65157510B,3
75,40,9YB040810,NUT-FLANGE,9YB,699,2.818368,416.36894125054,0.114268724634346,1028.03420108801,24.6643865941327,0.24,0.14,0.12,29,0.96,19,2,C19F2,0.96,1.92,1.44,90,"",0
76,41,B10068615,CAP NUT-FLANGE,B10,685,2.76192,412.178205411049,0.113118614738493,1003.75789125623,24.4161405829182,0.24,0.14,0.12,29,0.96,21,2,C21F2,0,0.96,5.48,90,"",0
77,42,9YA020660,BOLT,9YA,668,2.693376,407.031452316161,0.111706134474248,974.331053257299,24.1112631161801,0.24,0.14,0.12,28,0.96,21,2,C21F2,0.96,1.92,6.44,90,"",0
78,96,9XG147254K,BOLT,9XG,658,5.306112,285.65227501671,0.156789414008755,808.365728240072,33.8422847839952,0.28,0.24,0.12,20,1.4,17,5,C17F5,0,1.4,13.7,60,"",0
79,120,DN5557510,STRIKER-R BACK,DN5,654,6.54,255.734237050888,0.174067384908903,744.425151952848,37.5716565364768,0.24,0.28,0.24,18,1.98,22,2,C22F2,0,1.98,11.49,90,"",0
80,47,DK4968YB1,RET DR SCF PLT,DK4,651,2.624832,401.81878170804,0.110275563739217,944.962786450957,23.8024809032695,0.24,0.14,0.12,28,0.96,23,2,C23F2,0,0.96,13.48,90,"",0
81,48,9YA020857,BOLT-EARTH,9YA,640,2.58048,398.409536444798,0.109339926928685,925.992080960086,23.6005279359943,0.24,0.14,0.12,28,0.96,21,4,C21F4,0,0.96,5.48,90,"",0
82,49,9YA020670,BOLT,9YA,639,2.576448,398.098157314428,0.10925447171678,924.268757765964,23.5820828156024,0.24,0.14,0.12,28,0.96,21,4,C21F4,0.96,1.92,6.44,90,"",0
83,123,DG9969452,"BRKT-R ASSIST,RH",DG9,631,6.31,251.197133741609,0.170979172250265,708.42380265206,36.905079823196,0.42,0.21,0.15,18,1.26,17,3,C17F3,0,1.26,13.63,100,DG9969453,5
84,124,DG9969453,"BRKT-R ASSIST,LH",DG9,631,6.31,251.197133741609,0.170979172250265,708.42380265206,36.905079823196,0.42,0.21,0.15,18,1.26,18,3,C18F3,0,1.26,16.13,100,DG9969452,5
85,125,ZJ2140080,BRKT ASSY-HANGER,ZJ2,629,6.29,250.798724079689,0.170707991790532,705.301798759529,36.8465467493648,0.24,0.28,0.24,18,1.98,6,1,C06F1,0,1.98,16.49,60,"",0
86,51,DL3356514,BOLT-LOCK,DL3,626,2.524032,394.027837224652,0.10813740884433,901.885452179622,23.3409698546919,0.24,0.14,0.12,27,0.96,23,2,C23F2,0.96,1.92,14.44,90,"",0
87,52,992822200H,CLAMP-HOSE,992,623,2.511936,393.082547169025,0.107877982459784,896.725392328815,23.2849738447456,0.24,0.14,0.12,27,0.96,24,2,C24F2,0,0.96,15.98,90,"",0
88,100,9XG10267X0,CLIP,9XG,623,5.023872,277.951334669299,0.152562505876073,752.051112838869,32.9299258107421,0.28,0.24,0.12,19,1.4,18,4,C18F4,0,1.4,16.2,90,"",0
89,126,D65142631C,CLIP,D65,616,6.16,248.193472919817,0.16893470847243,685.043126332564,36.463791577829,0.24,0.28,0.24,17,1.98,19,5,C19F5,0,1.98,0.99,60,"",0
90,129,TC4042239,CLAMP-HOSE,TC4,605,6.05,245.967477524977,0.167419568373602,667.948668237582,36.1367554508279,0.24,0.28,0.24,17,1.98,7,4,C07F4,0,1.98,0.99,90,"",0
91,131,ZJ3918861B,SENSOR-OXYGEN,ZJ3,599,5.99,244.744765010408,0.166587320128858,658.643223442821,35.9571184371453,0.24,0.28,0.24,17,1.98,8,2,C08F2,0,1.98,3.49,90,ZJ3918861A,8
92,55,S09268786,PLUG-HOLE,S09,590,2.37888,382.530214596658,0.104981989350067,840.101697244344,22.6598868503771,0.24,0.14,0.12,27,0.96,24,2,C24F2,0.96,1.92,16.94,90,"",0
93,133,DF8743481,HOSE-VACUUM,DF8,575,5.75,239.791576165636,0.163215895797442,621.558823492047,35.2294117671969,0.24,0.28,0.24,17,1.98,13,4,C13F4,0,1.98,0.99,90,"",0
94,58,9YA191003A,BOLT-REAMER,9YA,568,2.290176,375.330542153201,0.103006103767852,802.498986531696,22.2334008978869,0.24,0.14,0.12,26,0.96,21,1,C21F1,0,0.96,5.48,60,"",0
95,136,DK4961157A,"DUCT-HEATER SIDE,RH",DK4,561,5.61,236.85438564654,0.161216675518867,600.031663107008,34.7978891261995,0.28,0.48,0.12,17,1.98,11,4,C11F4,0,1.98,13.99,90,DK4961158B,6
96,137,DN325697Y,BRKT,DN3,561,5.61,236.85438564654,0.161216675518867,600.031663107008,34.7978891261995,0.55,0.33,0.11,17,1.98,6,5,C06F5,0,1.98,16.49,60,"",0
97,138,DN2443621,HOSE-VACUUM,DN2,556,5.56,235.796522451032,0.16049663317273,592.362931288142,34.6424712474572,0.24,0.28,0.24,17,1.98,7,1,C07F1,0,1.98,0.99,60,"",0
98,139,DK4961158B,"DUCT-HEATER SIDE,LH",DK4,555,5.55,235.584379787795,0.160352236712393,590.830441116223,34.6113039255852,0.48,0.29,0.13,17,1.98,10,4,C10F4,0,1.98,11.49,90,DK4961157A,6
99,53,DR6246310,"",DR6,547,2.021712,384.704868045409,0.0967805698758352,780.655285881181,20.8896476079213,0.24,0.14,0.11,27,0.96,14,4,C14F4,0,0.96,2.98,90,"",0
100,59,D65162620A,"DAMPER-STAY,RH",D65,532,2.145024,363.241578628389,0.0996883960637606,741.240669220712,21.5172887186192,0.24,0.14,0.12,25,0.96,20,2,C20F2,0,0.96,2.98,90,D65163620A,2
101,60,D65163620A,"DAMPER-STAY,LH",D65,532,2.145024,363.241578628389,0.0996883960637606,741.240669220712,21.5172887186192,0.24,0.14,0.12,25,0.96,20,2,C20F2,0.96,1.92,3.94,90,D65162620A,2
102,146,D6516851XC02,"GARN-R SAIL IN,RH",D65,531,5.31,230.434372436058,0.156846846420048,554.179780352796,33.8546813098136,0.24,0.28,0.24,16,1.92,20,4,C20F4,0,1.92,3.46,90,D6516851YC02,7
103,148,D6516851YC02,"GARN-R SAIL IN,LH",D65,527,5.27,229.56480566498,0.156254969416832,548.096089903401,33.7269273397733,0.24,0.28,0.24,16,1.92,19,4,C19F4,0,1.92,0.96,90,D6516851XC02,7
104,149,CD8466290D02,POWER OUTLET,CD8,525,5.25,229.128784747792,0.155958188580227,545.056971891606,33.6628685405596,0.24,0.28,0.24,16,1.92,15,4,C15F4,0,1.92,5.96,90,"",0
105,152,ZJ3918861A,SENSOR-OXYGEN,ZJ3,516,5.16,227.156333832011,0.154615625391463,531.40376463223,33.3730823578514,0.24,0.28,0.24,16,1.92,8,4,C08F4,0,1.92,3.46,90,ZJ3918861B,8
106,61,994541025,BOLT,994,507,2.044224,354.604071633488,0.0973179096740619,698.915550460362,21.0056299693092,0.24,0.14,0.12,25,0.96,24,4,C24F4,0,0.96,15.98,90,"",0
107,153,DP0446086,BRKT-CABLE,DP0,495,4.95,222.48595461287,0.15143669750686,499.696122390437,32.6869251739708,0.24,0.28,0.24,16,1.92,9,1,C09F1,0,1.92,5.96,60,"",0
108,79,DN3220360A,TUBE ASSY-VACUUM,DN3,487,2.290848,321.759089327133,0.103021215057271,640.450060981155,22.2366626012563,0.24,0.14,0.14,22,0.72,17,3,C17F3,1.26,1.98,14.62,100,"",0
109,130,9XG039577L,BOLT,9XG,484,3.902976,244.989471753056,0.13447033009707,532.627825649431,29.0248116233713,0.28,0.24,0.12,17,1.4,18,1,C18F1,0,1.4,16.2,60,"",0
110,67,994641040,BOLT,994,474,1.911168,342.86954342654,0.0940974735666846,643.342298646477,20.3105134235682,0.24,0.14,0.12,24,0.72,24,3,C24F3,1.2,1.92,17.06,100,"",0
111,68,B6BG18401B,"BOLT,STARTER",B6B,474,1.911168,342.86954342654,0.0940974735666846,643.342298646477,20.3105134235682,0.24,0.14,0.12,24,0.72,18,3,C18F3,1.26,1.98,17.12,100,"",0
112,71,904400825,SCREW,904,460,1.85472,337.768118074074,0.0926974330951433,619.875184553976,20.0083210297349,0.24,0.14,0.12,23,0.72,13,2,C13F2,1.2,1.92,1.56,90,"",0
113,72,9YB041028,NUT-FLANGE,9YB,460,1.85472,337.768118074074,0.0926974330951433,619.875184553976,20.0083210297349,0.24,0.14,0.12,23,0.72,19,1,C19F1,0.72,1.44,1.08,60,"",0
114,73,D65145915,HOLDER-PIPE,D65,451,1.818432,334.447542568575,0.0917861309050092,604.825691299388,19.8116205800408,0.24,0.14,0.12,23,0.72,21,1,C21F1,0.96,1.68,6.32,60,"",0
115,74,9XG02913X0,PLUG 28 X 0.5-2 PNL,9XG,445,1.79424,332.215387199424,0.0911735358674148,594.809079258065,19.679394716129,0.24,0.14,0.12,23,0.72,16,5,C16F5,1.12,1.84,11.98,60,"",0
116,75,L206614H5A,CLIP,L20,444,1.790208,331.841901542056,0.0910710360757431,593.140940993946,19.6572706004036,0.24,0.14,0.12,23,0.72,9,4,C09F4,1.2,1.92,6.56,90,"",0
117,76,ZJ0818867,CLIP,ZJ0,444,1.790208,331.841901542056,0.0910710360757431,593.140940993946,19.6572706004036,0.24,0.14,0.12,23,0.72,14,4,C14F4,0.96,1.68,3.82,90,"",0
118,144,9XF20214ZD,NUT M12 HF PTP 10,9XF,431,3.475584,231.186981975458,0.126894390840276,451.156308212067,27.3895794525289,0.28,0.24,0.12,16,1.12,18,5,C18F5,0,1.12,16.06,60,"",0
119,145,9XF002437L,BOLT,9XF,430,3.46752,230.918627872272,0.12674709608275,449.633201804939,27.3577865463374,0.28,0.24,0.12,16,1.12,22,4,C22F4,0,1.12,11.06,90,"",0
120,91,9XG042957L,BOLT,9XG,422,2.020536,296.878778611138,0.0967524178675465,530.746433133159,20.883571124456,0.28,0.19,0.09,21,0.84,18,5,C18F5,1.12,1.96,17.04,60,"",0
121,155,9XG15402X0,SCREW,9XG,395,3.18528,221.321338602122,0.121479316014654,396.688598787991,26.2207600808006,0.28,0.24,0.12,16,1.12,23,4,C23F4,0,1.12,13.56,90,"",0
122,157,DK5267C11,CLIP,DK5,393,3.169152,220.760320364913,0.121171383159385,393.685587466876,26.1542941688749,0.28,0.24,0.12,16,1.12,8,1,C08F1,0,1.12,3.06,60,"",0
123,83,9YA500603,SCREW-TAPPING,9YA,385,1.55232,309.008270295653,0.0848045506038418,495.429828538645,18.3046780974237,0.24,0.14,0.12,22,0.72,12,1,C12F1,1.2,1.92,17.06,60,"",0
124,84,DK49675DY,TRANSMITTER,DK4,382,1.540224,307.801987472569,0.0844734970931546,490.501674548618,18.2332216967588,0.14,0.24,0.12,21,0.84,23,4,C23F4,1.12,1.96,14.54,90,"",0
125,85,9YA110807,BOLT,9YA,376,1.516032,305.375127104301,0.0838074670134021,480.658068184265,18.089462121049,0.24,0.14,0.12,21,0.72,12,5,C12F5,1.2,1.92,17.06,60,"",0
126,86,D35045919A,HOLDER-PIPE,D35,374,1.507968,304.56187632062,0.0835842776237707,477.380684465386,18.0412877023076,0.24,0.14,0.12,21,0.72,22,4,C22F4,1.12,1.84,11.98,90,"",0
