PartNo,PartName,CabinetNo,FloorNo,PositionID,X_m,Y_m,Z_m,Frequency,AllocatedVolume_m3,PositionsNeeded,BoxesPerPosition,DistanceFromIO
DK1239040A,RUB-E/MTG;#1,22,4,C22F4,17.82,2.18,1.05,1141,0.229917142274974,1,16,17.9528493560215
904400825,SCREW,23,4,C23F4,19.8,2.18,1.05,460,0.0926974330951433,1,64,19.9196485912779
9YB041028,NUT-FLANGE,24,4,C24F4,21.78,2.18,1.05,460,0.0926974330951433,1,64,21.8888282007055
D65145915,HOLDER-PIPE,1,1,C01F1,0,0,0.15,451,0.0917861309050092,1,64,0
9XG02913X0,PLUG 28 X 0.5-2 PNL,2,1,C02F1,1.98,0,0.15,445,0.0911735358674148,1,64,1.98
L206614H5A,CLIP,3,1,C03F1,3.96,0,0.15,444,0.0910710360757431,1,64,3.96
ZJ0818867,CLIP,4,1,C04F1,5.94,0,0.15,444,0.0910710360757431,1,64,5.94
DJ3534170,LINK-CONTROL,5,1,C05F1,7.92,0,0.15,3285,0.675704552438064,1,8,7.92
DL3334155,PLATE-STAB,6,1,C06F1,9.9,0,0.15,1065,0.222128014413248,1,16,9.9
DN3220360A,TUBE ASSY-VACUUM,7,1,C07F1,11.88,0,0.15,487,0.103021215057271,1,64,11.88
9XG04176X7,BOLT&WSHR M6X16 HF,8,1,C08F1,13.86,0,0.15,238,0.050925542932237,1,128,13.86
9XF003402M,BOLT,9,1,C09F1,15.84,0,0.15,792,0.172015024231624,1,28,15.84
DN321006Y,PIPE SUBASSY-GAGE,10,1,C10F1,17.82,0,0.15,1954,0.425506117319492,1,12,17.82
9YA500603,SCREW-TAPPING,11,1,C11F1,19.8,0,0.15,385,0.0848045506038418,1,64,19.8
DK49675DY,TRANSMITTER,12,1,C12F1,21.78,0,0.15,382,0.0844734970931546,1,56,21.78
9YA110807,BOLT,13,1,C13F1,0,2.18,0.15,376,0.0838074670134021,1,64,2.18
D35045919A,HOLDER-PIPE,14,1,C14F1,1.98,2.18,0.15,374,0.0835842776237707,1,64,2.94496179941269
9XG15119X3,BOLT M10X26 PN TI P,15,1,C15F1,3.96,2.18,0.15,737,0.165934822111232,1,28,4.52039821254721
9YB041208,NUT-FLANGE,16,1,C16F1,5.94,2.18,0.15,368,0.0829111046961917,1,64,6.32740073015768
DN3266120B,SWITCH-COMBI,17,1,C17F1,7.92,2.18,0.15,4526,1.02393127329231,2,3,8.21454807034447
DF7445911,HOLDER-PIPE,18,1,C18F1,9.9,2.18,0.15,363,0.0823459235703601,1,64,10.1371790947975
9XG042957L,BOLT,19,1,C19F1,11.88,2.18,0.15,422,0.0967524178675465,1,63,12.0783608159386
994501040,BOLT,20,1,C20F1,13.86,2.18,0.15,355,0.0814334752015162,1,64,14.0303955753215
H26050841,GROMMET-SCREW,21,1,C21F1,15.84,2.18,0.15,353,0.0812037611326043,1,64,15.9893089281557
D4363719X,CAP ASSY-CENTER,22,1,C22F1,17.82,2.18,0.15,863,0.199955764313009,1,16,17.9528493560215
DN3409010,KEY SET,23,1,C23F1,19.8,2.18,0.15,827,0.195740766836829,1,16,19.9196485912779
9XG147254K,BOLT,24,1,C24F1,21.78,2.18,0.15,658,0.156789414008755,1,28,21.8888282007055
994790625,BOLT,1,5,C01F5,0,0,1.35,328,0.0782754754418312,1,64,0
DK5150YF1A,TRNSF L/C DR NM,2,5,C02F5,1.98,0,1.35,328,0.0782754754418312,1,64,1.98
D6524608XA,BRKT ASSY-CABLE,3,5,C03F5,3.96,0,1.35,787,0.19094834421194,1,16,3.96
9XG10267X0,CLIP,4,5,C04F5,5.94,0,1.35,623,0.152562505876073,1,28,5.94
B00143694A,BOLT-CONNECTOR,5,5,C05F5,7.92,0,1.35,310,0.0760973685734964,1,64,7.92
DN3213382A,INSULATOR-HEAT,6,5,C06F5,9.9,0,1.35,2294,0.564658493030499,1,6,9.9
B00156170C,BOLT-JACK SET,7,5,C07F5,11.88,0,1.35,308,0.0758514959806044,1,64,11.88
994541090,BOLT,8,5,C08F5,13.86,0,1.35,304,0.0753573441667488,1,64,13.86
ZJ2113390,INSULATOR ASSY-EXH,9,5,C09F5,15.84,0,1.35,4436,1.11045234238542,2,4,15.84
D6516679YA,BRKT ASSY-HORN,10,5,C10F5,17.82,0,1.35,2217,0.555100993382263,1,8,17.82
ZJ1413460,GSKT ASSY-EXH MANI,11,5,C11F5,19.8,0,1.35,2205,0.553596651880993,1,8,19.8
9YA021059A,BOLT,12,5,C12F5,21.78,0,1.35,293,0.0739814097096956,1,64,21.78
D65157510B,"STRIKER-R BACK,RH",13,5,C13F5,0,2.18,1.35,711,0.18149444242886,1,16,2.18
D65157520B,"STRIKER-R BACK,LH",14,5,C14F5,1.98,2.18,1.35,709,0.181238996218622,1,16,2.94496179941269
D65156731,CLIP-OPENER CABLE,15,5,C15F5,3.96,2.18,1.35,284,0.0728363144778535,1,64,4.52039821254721
D65168424A,"COVER-RECESS,RH",16,5,C16F5,5.94,2.18,1.35,277,0.0719330834325527,1,64,6.32740073015768
D65168454B,"COVER-RECESS,LH",17,5,C17F5,7.92,2.18,1.35,277,0.0719330834325527,1,64,8.21454807034447
DN3257720B,BELT-A,18,5,C18F5,9.9,2.18,1.35,2049,0.53365445236797,1,8,10.1371790947975
9YA110619,BOLT,19,5,C19F5,11.88,2.18,1.35,272,0.0712809114618165,1,64,12.0783608159386
DN3257L30G,"BELT-B,P/TENS",20,5,C20F5,13.86,2.18,1.35,2671,0.703550814703262,1,6,14.0303955753215
9YB041026,MUT-FLANGE,21,5,C21F5,15.84,2.18,1.35,266,0.0704903408622955,1,64,15.9893089281557
9YA020659,BOLT,22,5,C22F5,17.82,2.18,1.35,264,0.0702248395766605,1,64,17.9528493560215
9YB041203,NUT-FLANGE,23,5,C23F5,19.8,2.18,1.35,264,0.0702248395766605,1,64,19.9196485912779
DN5557510,STRIKER-R BACK,24,5,C24F5,21.78,2.18,1.35,654,0.174067384908903,1,16,21.8888282007055
