Skus,Part No,Part name,Box type,UnitLabel Qt,ModuleSizeL,ModuleSizeV,ModuleSizeH,Cub M,,,
241.00,"9XG00671X0","FASTENER","8AB21",2000.00,240.00,160.00,240.00,9.216e-03,,,
545.00,"9XG00673X0","CLIP","8BC61",3200.00,280.00,240.00,240.00,0.01,,,
258.00,"9XG00791X0","NUT","3AB43",1000.00,300.00,200.00,90.00,5.4e-03,,,
816.00,"9XG008432M","SCREW","8AE53",1200.00,280.00,260.00,160.00,0.01,,,
682.00,"9XG00869X0","CLIP","3AB64",8000.00,450.00,450.00,300.00,0.06,,,
621.00,"9XG00876X7","NUT U SPG","8AC44",1400.00,280.00,240.00,120.00,8.064e-03,,,
26.00,"9XG00910X3","SCREW&WSHR 6.3X19","5AXXX",1500.00,240.00,190.00,140.00,6.384e-03,,,
366.00,"9XG01054X0","FASTENER","8BD35",1000.00,280.00,240.00,240.00,0.01,,,
320.00,"9XG010692M","SCREW","8AB24",450.00,280.00,240.00,120.00,8.064e-03,,,
32.00,"9XG013312M","BOLT","8AD25",120.00,280.00,190.00,90.00,4.788e-03,,,
240.00,"9XG013892M","BOLT&WSHR M6X27.5 H","8AD25",800.00,280.00,240.00,120.00,8.064e-03,,,
514.00,"9XG01459X3","SCREW 5X16 PF TI TF","3AD53",4500.00,280.00,240.00,120.00,8.064e-03,,,
636.00,"9XG015963J","NUT","8AD65",2000.00,280.00,240.00,120.00,8.064e-03,,,
515.00,"9XG020422M","BOLT","8AE62",125.00,280.00,240.00,120.00,8.064e-03,,,
78.00,"9XG02042AF","BOLT","8AF14",100.00,280.00,240.00,120.00,8.064e-03,,,
390.00,"9XG022369L","BOLT","8AA33",250.00,300.00,200.00,130.00,7.8e-03,,,
652.00,"9XG02498AF","SCREW-TAPPING","8AC15",1000.00,300.00,200.00,90.00,5.4e-03,,,
544.00,"9XG02686X0","PLUG 19.0X2.0X3.5","8DA21",2000.00,280.00,480.00,240.00,0.03,,,
465.00,"9XG027512M","NUT&WSHR M6 HX PTM","8AC51",2000.00,280.00,240.00,120.00,8.064e-03,,,
600.00,"9XG02815X3","NUT SPG 4.8X0.9-2 U","8AC14",5000.00,280.00,240.00,120.00,8.064e-03,,,
116.00,"9XG02913X0","PLUG 28 X 0.5-2 PNL","8AD22",220.00,240.00,140.00,120.00,4.032e-03,,,
546.00,"9XG03063X0","PLUG 40X0.7-3.0 PNL","8CD16",1000.00,280.00,480.00,240.00,0.03,,,
585.00,"9XG03168X3","SCREW 5X12 PAN FLNG","8AD53",6000.00,240.00,190.00,140.00,6.384e-03,,,
688.00,"9XG03198X0","FASTENER","8AC41",3500.00,280.00,240.00,480.00,0.03,,,
613.00,"9XG032462M","CLIP","8FXXX",300.00,280.00,240.00,120.00,8.064e-03,,,
401.00,"9XG034042M","BOLT","8AD34",800.00,280.00,240.00,120.00,8.064e-03,,,
324.00,"9XG03453X0","CLIP","8AE16",400.00,240.00,140.00,120.00,4.032e-03,,,
318.00,"9XG03457ZA","NUT M10 HF PTM PTC","5AXXX",500.00,280.00,240.00,120.00,8.064e-03,,,
404.00,"9XG035052M","CLIP","8AA16",10000.00,280.00,240.00,120.00,8.064e-03,,,
305.00,"9XG036623H","NUT","8AE25",1000.00,280.00,240.00,120.00,8.064e-03,,,
425.00,"9XG037157L","SCREW","8AE11",1800.00,240.00,280.00,120.00,8.064e-03,,,
145.00,"9XG039577L","BOLT","8AA54",100.00,280.00,240.00,120.00,8.064e-03,,,
163.00,"9XG04176X7","BOLT&WSHR M6X16 HF","8AB32",700.00,240.00,140.00,70.00,2.352e-03,,,
137.00,"9XG042957L","BOLT","8AH13",300.00,280.00,190.00,90.00,4.788e-03,,,
297.00,"9XG05125X3","BOLT&WSHR M8X16 PN","8AA25",500.00,280.00,240.00,120.00,8.064e-03,,,
476.00,"9XG05365X0","NUT 7 2X14 2 EXP SP","8AA13",1250.00,280.00,240.00,120.00,8.064e-03,,,
445.00,"9XG054481M","NUT","8AF15",2000.00,280.00,240.00,120.00,8.064e-03,,,
484.00,"9XG060662M","NUT U SPG 6.3X0.7-2","5AXXX",3000.00,280.00,240.00,240.00,0.01,,,
690.00,"9XG06096ZC","SCREW 4.8X16 PN TI","8AA25",5000.00,280.00,240.00,140.00,9.408e-03,,,
677.00,"9XG06169AJ","SCREW 4 8X16 PC TI","8AD36",3000.00,280.00,240.00,140.00,9.408e-03,,,
454.00,"9XG065577L","BOLT&WSHR M6X16","8FXXX",1000.00,280.00,240.00,120.00,8.064e-03,,,
629.00,"9XG067852M","NUT","8AD36",1700.00,280.00,240.00,120.00,8.064e-03,,,
630.00,"9XG077595J","BOLT&WSHR","8AA63",2000.00,280.00,240.00,120.00,8.064e-03,,,
332.00,"9XG083322M","BOLT","8AE43",300.00,280.00,240.00,120.00,8.064e-03,,,
712.00,"9XG087492M","BOLT M8X16 PF TI PI","5AD62",800.00,280.00,240.00,120.00,8.064e-03,,,
749.00,"9XG09011X0","CLIP 5X1 2+2 5","3AC11",14000.00,280.00,240.00,480.00,0.03,,,
549.00,"9XG09047X0","CLIP","8AB12",180.00,280.00,240.00,120.00,8.064e-03,,,
210.00,"9XG093322M","NUT STAMPED M6HF","8AF13",3000.00,250.00,250.00,190.00,0.01,,,
255.00,"9XG096389L","BOLT","8AE42",175.00,300.00,200.00,130.00,7.8e-03,,,
33.00,"9XG09643X0","PLUG 40X.08-1.5 PNL","8AH12",120.00,280.00,240.00,120.00,8.064e-03,,,
486.00,"9XG09930AF","NUT M6 HF SERR","8AA62",2500.00,280.00,240.00,120.00,8.064e-03,,,
25.00,"9XG099317L","BOLT M5X16 HF PIL A","8AJ11",1000.00,280.00,240.00,120.00,8.064e-03,,,
