Rank,PartNo,Frequency,DemandVolume_m3,Viscosity,AllocatedVolume_m3,Benefit,ReplenishTrips
1,D65133047B,9225,92.249,960.473841449314,0.674120387103888,16397.3473485282,136.843510098121
2,C23750EJ0,3473,13.99684608,928.302863086058,0.262586092997697,6146.44245754538,53.3038361636417
3,D65239060H,7331,73.31,856.212590423663,0.600949859188861,12832.1468380669,121.990210795541
4,9YA02122N,2908,11.718672,849.483998940798,0.240267941384434,5084.39977490485,48.7733483396765
5,9YA02100N,2808,11.321856,834.52296039628,0.236164949143857,4896.89311891685,47.9404587388767
6,DN3437160,2795,11.26935936,832.591932120604,0.235616793824207,4872.5622161461,47.8291855902599
7,D651437A0D,5891,58.9028571428572,767.575036874713,0.53867250475591,10141.7773241773,109.348178388181
8,GJ2168885B02,1825,5.995827266,745.312341017313,0.171862523506219,3126.68981488716,34.8873456741896
9,9YA02100P,1745,7.03097472,658.093593639579,0.186107723249038,2923.31410992077,37.7790593386152
10,D65133042A,1666,6.717312,642.802025855897,0.181909084531046,2778.09869122395,36.9267539184034
11,997961260,1480,5.96736,605.857649999975,0.171454049667749,2437.93359110819,34.8044272594541
12,DN3409010A,1462,5.894784,602.162109692404,0.17040823411777,2405.11803131009,34.5921312459941
13,B00237160B,1247,5.02758144,556.14353919974,0.157375160179822,2014.80289218559,31.9464738542939
14,994540895,1185,4.77792,542.124348764939,0.153417910988239,1902.85245811036,31.1431694593095
15,DP0467B21A,983,3.9545856,494.314132906252,0.139574833452901,1541.00372715819,28.333084856121
16,9XG013312M,1154,5.522958,491.043468243933,0.164946269690656,1805.74935707629,33.4833761949141
17,9YA020843,942,3.79443456,483.590064049775,0.136719405612326,1467.69831886639,27.7534454089076
18,9XG14343ZC,1842,14.84550144,478.070768985801,0.270429499087695,2860.559797096,54.8960135269336
19,9YA020669,920,3.70460608,477.98779757943,0.135091382307281,1428.65554374445,27.4229637503703
20,011856241,920,3.70944,477.676253517592,0.135179489927565,1428.38726178198,27.4408492145346
21,9YA670603,911,3.673152,475.334051291784,0.134516660867379,1412.40553307876,27.3062977947496
22,9YA420803,863,3.4751808,462.937213946275,0.130841444483765,1327.59632748117,26.5602448345884
23,DN2439070,5335,138.054,454.056530701372,0.824671764495651,8158.92821464979,167.404785690014
24,9XG099317L,1655,13.313793024,453.57289899864,0.256098791190233,2530.19586882136,51.9869420785761
25,9YA750603,808,3.257856,447.657039927694,0.12668423409011,1230.25476223631,25.7163491842459
26,9YA021104,805,3.24576,446.82522061515,0.126448834256951,1224.97153938908,25.6685640407283
27,D6516732XB,1910,19.1,437.035467668243,0.306742047119178,2885.99045455061,62.2673030299596
28,D65167320A,1907,19.065,436.749371050531,0.306460871871213,2880.84661485862,62.2102256760917
29,DK1239080,1873,18.7125,432.98402240805,0.303614518140319,2821.51357649414,61.6324282337243
30,DK4962361D,722,2.86581187037037,426.49442537249,0.118817515407651,1082.20840801063,24.1194394659581
31,D35042239,720,2.90304,422.577127364258,0.119586770561648,1075.86607619317,24.2755949204553
32,D37437790A,5158,154.74,414.64844547319,0.873087809173755,7657.50451350756,177.233032432829
33,D65150660C,684,2.757888,411.877235523957,0.116558765902424,1013.08615306865,23.6609231287567
34,D65150670C,684,2.757888,411.877235523957,0.116558765902424,1013.08615306865,23.6609231287567
35,DP0757730C,3352,67.04,409.389789809174,0.574676755027501,4954.14672822137,116.656884785242
36,DN24437A0,1656,16.5371428571429,407.22093187009,0.285421620170822,2442.90976531952,57.9393489786989
37,9YA420608,667,2.688283584,406.80688441322,0.115078493535732,983.593485967218,23.3604342688521
38,9YB040810,651,2.624832,401.81878170804,0.113712284323566,955.753503992881,23.083099733808
39,D65133042,642,2.5838568,399.393329873686,0.112821234750467,940.466691880096,22.9022205413269
40,9XG09643X0,1255,10.114944,394.604455391117,0.223222706419466,1830.30140466584,45.3132396889438
41,DK4957960F,3065,61.29,391.503517326433,0.549479429507415,4456.87094251343,111.541937165772
42,9YA020660,617,2.487744,391.185114301137,0.110703020778353,896.916515397411,22.4722323068393
43,9XG11918ZA,1229,9.89216256,390.756544633393,0.220750781784329,1785.82825410345,44.8114497264365
44,D65139060F,1524,15.24,390.384425918863,0.273999084350514,2213.69064257323,55.6206238284513
45,DK4966370A,1502,15.0134523809524,387.640948231406,0.271954915783673,2175.91500265646,55.2056664895694
46,DK4968YB1,605,2.4573696,385.940303454872,0.110025124499722,874.980665392538,22.3346223071642
47,B10068615,598,2.41800048,384.567866260272,0.10914021861425,863.675146151263,22.1549902565825
48,DN3237790,4344,130.29,380.569758399849,0.801146924888021,6248.55981832151,162.629345445233
49,992822200H,579,2.33310336,379.063156032552,0.10720711709363,831.561314316141,21.7625790455906
50,DL3356514,579,2.334528,378.947477199929,0.107239843513253,831.461664500916,21.7692223666056
51,9YA020670,579,2.334528,378.947477199929,0.107239843513253,831.461664500916,21.7692223666056
52,DR6134011B,8486,509.16,376.07623340665,1.58373956681605,12149.6162192158,321.492252052283
53,S09268786,569,2.2920576,375.836973937303,0.106259897263353,814.445536976277,21.5702975349149
54,DR6246310,522,1.929312,375.810811757414,0.0974895039882841,747.150812999543,19.7899458000305
55,9YA020857,563,2.2667232,373.946222119024,0.105671013507339,804.238649640296,21.4507566906469
56,DF5042250,1370,13.6983333333333,370.157626821991,0.259770896417199,1949.0145476882,52.7323634874532
57,GJ6A58225A,1060,8.54784,362.55815078193,0.2052035265763,1495.16863311642,41.6554244589051
58,9YA191003A,528,2.128896,361.873432227873,0.102407992079722,744.17433726129,20.788377515914
