Cabinet,Floor,PositionID,Row,Column,X_m,Y_m,Z_m,DistanceFromStart_m,ErgonomicScore,SKUCount,TotalFrequency,TotalBoxes,SKUs
14,5,C14F5,3,1,2.97,7.06,1.35,6.72,60,1,371,13,9XG093322M
15,1,C15F1,3,1,4.95,7.06,0.15,7.01,60,1,462,11,DP0446086
15,2,C15F2,3,1,4.95,7.06,0.45,7.01,90,1,920,38,011856241
15,3,C15F3,3,1,4.95,7.06,0.75,7.01,100,1,2061,8,ZJ1413460
15,4,C15F4,3,1,4.95,7.06,1.05,7.01,90,2,1148,60,992822200H;S09268786
15,5,C15F5,3,1,4.95,7.06,1.35,7.01,60,1,403,18,9XF002437L
16,1,C16F1,3,2,0.99,9.74,0.15,9.61,60,1,476,11,D6516851YC02
16,2,C16F2,3,2,0.99,9.74,0.45,9.61,90,1,1067,16,DK1239040A
16,3,C16F3,3,2,0.99,9.74,0.75,9.61,100,1,1873,16,DK1239080
16,4,C16F4,3,2,0.99,9.74,1.05,9.61,90,2,901,53,D65133042;D65168424A
16,5,C16F5,3,2,0.99,9.74,1.35,9.61,60,1,572,12,D65142631C
17,1,C17F1,3,2,2.97,9.74,0.15,9.4,60,1,476,11,D6516851XC02
17,2,C17F2,3,2,2.97,9.74,0.45,9.4,90,1,1524,16,D65139060F
17,3,C17F3,3,2,2.97,9.74,0.75,9.4,100,1,1666,51,D65133042A
17,4,C17F4,3,2,2.97,9.74,1.05,9.4,90,2,953,56,D65163620A;D65162620A
17,5,C17F5,3,2,2.97,9.74,1.35,9.4,60,1,732,14,D6524608XA
18,1,C18F1,3,2,4.95,9.74,0.15,9.61,60,2,857,53,904400825;D65145915
18,2,C18F2,3,2,4.95,9.74,0.45,9.61,90,1,1131,8,DK5157K30
18,3,C18F3,3,2,4.95,9.74,0.75,9.61,100,1,1267,8,DK5142YA3D
18,4,C18F4,3,2,4.95,9.74,1.05,9.61,90,2,699,48,B6BG18401B;D65168454B
18,5,C18F5,3,2,4.95,9.74,1.35,9.61,60,1,432,11,D65157529A
19,1,C19F1,4,1,0.99,10.42,0.15,10.27,60,1,897,27,9XG02042AF
19,2,C19F2,4,1,0.99,10.42,0.45,10.27,90,1,1154,12,DN246909X
19,3,C19F3,4,1,0.99,10.42,0.75,10.27,100,1,1656,16,DN24437A0
19,4,C19F4,4,1,0.99,10.42,1.05,10.27,90,1,914,27,9XG146214K
19,5,C19F5,4,1,0.99,10.42,1.35,10.27,60,1,685,24,9XG15119X3
20,1,C20F1,4,1,2.97,10.42,0.15,10.08,60,1,1229,28,9XG11918ZA
20,2,C20F2,4,1,2.97,10.42,0.45,10.08,90,1,1655,28,9XG099317L
20,3,C20F3,4,1,2.97,10.42,0.75,10.08,100,1,1842,28,9XG14343ZC
20,4,C20F4,4,1,2.97,10.42,1.05,10.08,90,1,1255,28,9XG09643X0
20,5,C20F5,4,1,2.97,10.42,1.35,10.08,60,1,1154,39,9XG013312M
21,1,C21F1,4,1,4.95,10.42,0.15,10.27,60,1,581,22,9XG10267X0
21,2,C21F2,4,1,4.95,10.42,0.45,10.27,90,1,925,15,DL3334155
21,3,C21F3,4,1,4.95,10.42,0.75,10.27,100,1,3051,8,DJ3534170
21,4,C21F4,4,1,4.95,10.42,1.05,10.27,90,1,611,22,9XG147254K
21,5,C21F5,4,1,4.95,10.42,1.35,10.27,60,2,993,56,DL3356514;9XG02913X0
22,1,C22F1,4,2,0.99,13.1,0.15,12.91,60,1,942,39,9YA020843
22,2,C22F2,4,2,0.99,13.1,0.45,12.91,90,1,2808,64,9YA02100N
22,3,C22F3,4,2,0.99,13.1,0.75,12.91,100,1,2908,64,9YA02122N
22,4,C22F4,4,2,0.99,13.1,1.05,12.91,90,1,1745,53,9YA02100P
22,5,C22F5,4,2,0.99,13.1,1.35,12.91,60,1,920,38,9YA020669
23,1,C23F1,4,2,2.97,13.1,0.15,12.76,60,1,808,36,9YA750603
23,2,C23F2,4,2,2.97,13.1,0.45,12.76,90,1,911,38,9YA670603
23,3,C23F3,4,2,2.97,13.1,0.75,12.76,100,1,1825,59,GJ2168885B02
23,4,C23F4,4,2,2.97,13.1,1.05,12.76,90,1,863,37,9YA420803
23,5,C23F5,4,2,2.97,13.1,1.35,12.76,60,1,805,36,9YA021104
24,1,C24F1,4,2,4.95,13.1,0.15,12.91,60,2,1196,61,9YA020660;9YA020670
24,2,C24F2,4,2,4.95,13.1,0.45,12.91,90,1,739,24,9XF003402M
24,3,C24F3,4,2,4.95,13.1,0.75,12.91,100,1,1480,48,997961260
24,4,C24F4,4,2,4.95,13.1,1.05,12.91,90,1,667,33,9YA420608
24,5,C24F5,4,2,4.95,13.1,1.35,12.91,60,2,1091,59,9YA020857;9YA191003A
