"CabinetNo","FloorNo","FloorID","PartNo","PartName","Viscosity","Freq","FreqRank","PositionsAllocated","BoxesAllocated","BoxesPerPosition","PositionWidth_mm","WidthUsed_mm","PositionVolumeUsed_m3","BoxVolumeUsed_m3","PositionUtilization_pct","PercentOfFloorWidth","PercentOfFloorVolume","BoxWidth_mm","BoxDepth_mm","BoxHeight_mm","BoxesPerHeight","BoxesPerDepth","IsPrimary","IsBackfill"
17,3,"C17F3","DN3237790","JACK",394.799527186478,4676,7,4,4,1,450,1800,0.3672,0.12,32.6797385620915,90.9090909090909,90.9090909090909,450,350,210,1,1,TRUE,FALSE
17,4,"C17F4","DN3237790","JACK",394.799527186478,4676,7,1,1,1,450,450,0.0918,0.03,32.6797385620915,22.7272727272727,22.7272727272727,450,350,210,1,1,TRUE,FALSE
17,4,"C17F4","DL3356514","BOLT-LOCK",394.027837224652,626,85,6,48,8,240,1440,0.29376,0.193536,65.8823529411765,72.7272727272727,72.7272727272727,240,140,120,2,4,TRUE,FALSE
17,5,"C17F5","DR6246310","",384.704868045409,547,98,4,32,8,240,960,0.19584,0.118272,60.3921568627451,48.4848484848485,48.4848484848485,240,140,110,2,4,TRUE,FALSE
17,5,"C17F5","DF5042250","CAP-FILLER",384.187454245971,1476,41,3,6,2,280,840,0.17136,0.06,35.0140056022409,42.4242424242424,42.4242424242424,280,240,240,1,2,TRUE,FALSE
18,1,"C18F1","DR6134011B","SPRING-COIL,F",379.956137819442,8662,2,3,3,1,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,480,240,1,1,TRUE,FALSE
18,1,"C18F1","GJ6A58225A","BOLT-SETTING",375.825810293199,1139,49,1,4,4,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,240,1,4,TRUE,FALSE
18,2,"C18F2","DF5042250","CAP-FILLER",384.187454245971,1476,41,5,10,2,280,1400,0.2856,0.1,35.0140056022409,70.7070707070707,70.7070707070707,280,240,240,1,2,TRUE,FALSE
18,2,"C18F2","S09268786","PLUG-HOLE",382.530214596658,590,91,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
18,3,"C18F3","DF5042250","CAP-FILLER",384.187454245971,1476,41,7,14,2,280,1960,0.39984,0.14,35.0140056022409,98.989898989899,98.989898989899,280,240,240,1,2,TRUE,FALSE
18,4,"C18F4","S09268786","PLUG-HOLE",382.530214596658,590,91,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
18,4,"C18F4","DR6134011B","SPRING-COIL,F",379.956137819442,8662,2,1,1,1,560,560,0.11424,0.06,52.5210084033613,28.2828282828283,28.2828282828283,560,480,240,1,1,TRUE,FALSE
18,4,"C18F4","GJ6A58225A","BOLT-SETTING",375.825810293199,1139,49,1,4,4,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,240,1,4,TRUE,FALSE
18,5,"C18F5","DR6134011B","SPRING-COIL,F",379.956137819442,8662,2,3,3,1,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,480,240,1,1,TRUE,FALSE
18,5,"C18F5","GJ6A58225A","BOLT-SETTING",375.825810293199,1139,49,1,4,4,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,240,1,4,TRUE,FALSE
19,1,"C19F1","9YA191003A","BOLT-REAMER",375.330542153201,568,93,6,48,8,240,1440,0.29376,0.193536,65.8823529411765,72.7272727272727,72.7272727272727,240,140,120,2,4,TRUE,FALSE
19,1,"C19F1","D65162620A","DAMPER-STAY,RH",363.241578628389,532,99,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
19,2,"C19F2","DR6134011B","SPRING-COIL,F",379.956137819442,8662,2,2,2,1,560,1120,0.22848,0.12,52.5210084033613,56.5656565656566,56.5656565656566,560,480,240,1,1,TRUE,FALSE
19,2,"C19F2","GJ6A58225A","BOLT-SETTING",375.825810293199,1139,49,3,12,4,240,720,0.14688,0.096768,65.8823529411765,36.3636363636364,36.3636363636364,240,140,240,1,4,TRUE,FALSE
19,3,"C19F3","DR6134011B","SPRING-COIL,F",379.956137819442,8662,2,3,3,1,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,480,240,1,1,TRUE,FALSE
19,3,"C19F3","994541025","BOLT",354.604071633488,507,101,1,8,8,240,240,0.04896,0.032256,65.8823529411765,12.1212121212121,12.1212121212121,240,140,120,2,4,TRUE,FALSE
19,4,"C19F4","GJ6A58225A","BOLT-SETTING",375.825810293199,1139,49,2,8,4,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,240,1,4,TRUE,FALSE
19,4,"C19F4","D65163620A","DAMPER-STAY,LH",363.241578628389,532,100,2,16,8,240,480,0.09792,0.064512,65.8823529411765,24.2424242424242,24.2424242424242,240,140,120,2,4,TRUE,FALSE
19,4,"C19F4","994541025","BOLT",354.604071633488,507,101,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
19,5,"C19F5","D65162620A","DAMPER-STAY,RH",363.241578628389,532,99,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
19,5,"C19F5","D65163620A","DAMPER-STAY,LH",363.241578628389,532,100,4,32,8,240,960,0.19584,0.129024,65.8823529411765,48.4848484848485,48.4848484848485,240,140,120,2,4,TRUE,FALSE
20,1,"C20F1","DN246909X","WRENCH",352.845575287547,1245,46,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
20,1,"C20F1","9XG146214K","BOLT M10X18 5 PN TI",348.96388588333,982,55,1,4,4,280,280,0.05712,0.032256,56.4705882352941,14.1414141414141,14.1414141414141,280,240,120,2,2,TRUE,FALSE
20,2,"C20F2","D65357540B02","HINGE-R BACK,CTR",353.364778474973,3746,10,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
20,2,"C20F2","9XG146214K","BOLT M10X18 5 PN TI",348.96388588333,982,55,1,4,4,280,280,0.05712,0.032256,56.4705882352941,14.1414141414141,14.1414141414141,280,240,120,2,2,TRUE,FALSE
20,3,"C20F3","D65357540B02","HINGE-R BACK,CTR",353.364778474973,3746,10,3,6,2,560,1680,0.34272,0.18,52.5210084033613,84.8484848484848,84.8484848484849,560,240,240,1,2,TRUE,FALSE
20,3,"C20F3","9XG146214K","BOLT M10X18 5 PN TI",348.96388588333,982,55,1,4,4,280,280,0.05712,0.032256,56.4705882352941,14.1414141414141,14.1414141414141,280,240,120,2,2,TRUE,FALSE
20,4,"C20F4","D65357540B02","HINGE-R BACK,CTR",353.364778474973,3746,10,2,4,2,560,1120,0.22848,0.12,52.5210084033613,56.5656565656566,56.5656565656566,560,240,240,1,2,TRUE,FALSE
20,4,"C20F4","DN246909X","WRENCH",352.845575287547,1245,46,1,4,4,560,560,0.11424,0.04,35.0140056022409,28.2828282828283,28.2828282828283,560,240,120,2,2,TRUE,FALSE
20,4,"C20F4","9XG146214K","BOLT M10X18 5 PN TI",348.96388588333,982,55,1,4,4,280,280,0.05712,0.032256,56.4705882352941,14.1414141414141,14.1414141414141,280,240,120,2,2,TRUE,FALSE
20,5,"C20F5","DN246909X","WRENCH",352.845575287547,1245,46,3,12,4,560,1680,0.34272,0.12,35.0140056022409,84.8484848484848,84.8484848484849,560,240,120,2,2,TRUE,FALSE
20,5,"C20F5","9XG146214K","BOLT M10X18 5 PN TI",348.96388588333,982,55,1,4,4,280,280,0.05712,0.032256,56.4705882352941,14.1414141414141,14.1414141414141,280,240,120,2,2,TRUE,FALSE
