Pickers,EffectivePickers,Before_Utilization,After_Utilization,Before_LPMH,After_LPMH,Before_AvgService,After_AvgService,Before_AvgWait,After_AvgWait,Before_AvgFlow,After_AvgFlow,Before_Capacity,After_Capacity,Before_TheoreticalLPMH,After_TheoreticalLPMH,ServiceTime_Reduction_Pct,Capacity_Gain_Pct,After_FillRate,After_Stockouts,After_AvgStockWait,After_TotalStockWait,After_Replenishments
20,17.77777777777778,22.745119838388767,11.076684116967577,2.6919642857142856,2.6959821428571424,5.703253929625839,2.773297960731078,14.381984935531372,6.801938037905341,20.13890298805099,11.023807298376601,23565.494655928338,48462.15657425082,10.520310114253723,21.634891327790545,51.37340902313603,105.64879830374898,41.572525982828736,235,37.68472906403941,7650,731
30,26.666666666666664,15.163413225592514,7.386670810674466,1.7946428571428572,1.7993303571428572,5.703253929625839,2.771032444049074,8.124923427419526,3.7029819529259935,13.87365267473615,7.9154949577714335,35348.241983892505,72752.66676611663,10.520310114253723,21.65257939467757,51.41313225324219,105.81693086538384,41.572525982828736,235,37.68472906403941,7650,731
40,35.55555555555556,11.372559919194385,5.541531656417753,1.3459821428571428,1.3507533482142855,5.703253929625839,2.7692205042667637,5.23142468308301,2.3570796332417063,10.973719095418428,6.562552511988923,47130.989311856676,97067.02647399799,10.520310114253723,21.666746980803122,51.444902533939285,105.95159976745698,41.572525982828736,235,37.68472906403941,7650,731
50,44.44444444444444,9.098047935355506,4.435455909324115,1.0767857142857145,1.0824107142857144,5.703253929625839,2.76598586772996,3.7115518508730707,1.6068277577521715,9.449428465674968,5.802688340034879,58913.73663982085,121475.6748832396,10.520310114253723,21.6920848005785,51.50161816639607,106.19244646779377,41.572525982828736,235,37.68472906403941,7650,731
60,53.33333333333333,7.581706612796256,3.6973688280035164,0.8973214285714286,0.9030133928571429,5.703253929625839,2.7637729170393373,2.742023371011798,1.1584399017102351,8.475971592104191,5.347624518609425,70696.48396778501,145887.5284268737,10.520310114253723,21.709453634951444,51.54041971228425,106.35754458927798,41.572525982828736,235,37.68472906403941,7650,731
