PartNo,Volume,Freq,Viscosity
D65141371,0.14,14,37.4165738677394
DN32676V0E,4.92257142857143,83,37.4095151100266
DR8161190E,20.04,167,37.3050488093323
DF7141600B,4.98,83,37.1931893407023
DK4362361,19.92,166,37.1931893407023
DN3261C25,4.92,82,36.9684550213647
DN2809010D,0.54,27,36.7423461417477
DR66199G0,4.86,81,36.7423461417477
DA9M16YA1,1.2,40,36.5148371670111
Y64513489,0.13,13,36.0555127546399
9XG06096ZC,0.112896,12,35.7142857142857
LC6269261B30,1.14,38,35.5902608401044
Y65015980A,1.14,38,35.5902608401044
BN8V73608,0.02016,5,35.2147606136882
GJ6E61751B,0.02016,5,35.2147606136882
DK5166ZC1,4.438,74,35.1267581659896
DF956732XB,17.76,148,35.1188458428425
DK5162877B,1.11,37,35.1188458428425
DD5866A69,1.08,36,34.6410161513776
DL4146030A,0.12,12,34.6410161513776
S58B66250,0.12,12,34.6410161513776
Y60115810B,0.12,12,34.6410161513776
Y64520100,0.97,34,34.521769614543
DN3466YL1A,0.956326530612245,33,33.7451091917954
DN3267TC2,0.989976923076923,33,33.1666344633179
DN2868YB4,0.99,33,33.166247903554
DK5168YL2,0.11,11,33.166247903554
DN2415YA3,0.11,11,33.166247903554
DF73679BY,3.7725,63,32.4358979396148
DF7156041C,3.66,61,31.8852107828483
DR6443490A,14.64,122,31.8852107828483
Y60218401A,0.0158592,4,31.762841930819
DK4368961D91,72.576,270,31.6932845523194
DK5168YL1,0.0999785714285714,10,31.6261653009418
DK4967407A,0.9,30,31.6227766016838
DN2057K30,0.9,30,31.6227766016838
DN5467B21A,0.1,10,31.6227766016838
9CS600516B,0.016128,4,31.4970394174356
9YA020664,0.016128,4,31.4970394174356
DF9567320A,14.28,119,31.4907393794853
DJ6245510B,15.36,122,31.1289321478696
DF7141600C,3.48,58,31.0912635102961
DN2858330A68,3.42,57,30.8220700148449
CC2956860,0.84,28,30.5505046330389
DN6467B21,0.78,26,29.4392028877595
DK4959YB1,3,50,28.8675134594813
DN6467B21A,4.06,58,28.784916685157
9XG03198X0,0.72,24,28.2842712474619
D652676N0C,0.08,8,28.2842712474619
DF97675D0,2.88,48,28.2842712474619
DJ6241360,11.16,93,27.8388218141501
DK4350YJ1B,304.92,486,27.831929376134
DK4950YC1A,11.0328,92,27.6977795674388
C23564660A,2.64,44,27.0801280154532
DK5168YA2,0.0685714285714286,7,26.7316915539091
B21434C10,0.63,21,26.4575131106459
UB5467121,0.63,21,26.4575131106459
DL4061190A,2.29,40,26.4327440182036
DR64199G0,9.72,81,25.9807621135332
Y6351324XA,0.542857142857143,19,25.7875939164553
D65141380,2.22,37,24.8327740429189
DN2417530,0.54,18,24.4948974278318
DK4351180E,7.2975,61,22.5809798482671
DK4351170E,7.3125,61,22.557807979826
D65145510B,7.32,61,22.5462487641145
BP4M61757A,0.05,5,22.3606797749979
D653676N0C,0.05,5,22.3606797749979
D65141421,1.62,27,21.2132034355964
DP1016YA1,1.08024,22,21.1671580944783
DN2556620A,0.35,12,20.2837021134844
DN3261YH1,0.16,8,20
DK4951441,5.76,48,20
