DeliveryHour,OrderCount,Percentage
0,3654,1.99277931087139
1,32085,17.4981730129471
3,3565,1.94424144588301
4,9027,4.92304839606898
5,3527,1.92351741364078
6,8593,4.68635813309192
8,12899,7.03471820769843
9,11328,6.17794308526303
10,36625,19.9741494966242
11,3991,2.17656875470381
13,12072,6.58369782179514
14,3349,1.82644168366401
15,9943,5.42260664696066
16,3053,1.66501237988242
17,2407,1.31270383176449
18,5687,3.10151503583076
22,3930,2.14330122926233
23,17627,9.61322411404762
